RATE,CURRENCY,DATE
0.74,sgd,2021-03-01
0.13,try,2021-03-01
0.73,bnd,2021-03-01
0.01,inr,2021-03-01
0.24,myr,2021-03-01
0.27,sar,2021-03-01
0.00,clp,2021-03-01
0.00,cop,2021-03-01
0.70,nzd,2021-03-01
0.24,ron,2021-03-01
0.07,zar,2021-03-01
0.13,hkd,2021-03-01
0.02,php,2021-03-01
0.05,czk,2021-03-01
0.27,aed,2021-03-01
0.06,egp,2021-03-01
0.00,idr,2021-03-01
0.00,lbp,2021-03-01
0.27,pen,2021-03-01
0.03,thb,2021-03-01
0.15,cny,2021-03-01
0.16,hrk,2021-03-01
0.00,huf,2021-03-01
0.01,pkr,2021-03-01
0.27,qar,2021-03-01
0.00,tzs,2021-03-01
0.04,uah,2021-03-01
0.00,vnd,2021-03-01
0.00,crc,2021-03-01
0.00,kzt,2021-03-01
0.00,ngn,2021-03-01
0.60,bgn,2021-03-01
1.19,eur,2021-06-01
0.81,cad,2021-06-01
1.38,gbp,2021-06-01
0.76,aud,2021-06-01
0.01,jpy,2021-06-01
0.18,brl,2021-06-01
1.09,chf,2021-06-01
0.16,dkk,2021-06-01
0.01,rub,2021-06-01
0.26,pln,2021-06-01
0.12,sek,2021-06-01
0.04,twd,2021-06-01
0.30,ils,2021-06-01
0.00,krw,2021-06-01
0.05,mxn,2021-06-01
0.12,nok,2021-06-01
0.74,sgd,2021-06-01
0.12,try,2021-06-01
0.74,bnd,2021-06-01
0.01,inr,2021-06-01
0.24,myr,2021-06-01
0.27,sar,2021-06-01
0.00,clp,2021-06-01
0.00,cop,2021-06-01
0.73,nzd,2021-06-01
0.25,ron,2021-06-01
0.07,zar,2021-06-01
0.13,hkd,2021-06-01
0.02,php,2021-06-01
0.05,czk,2021-06-01
0.27,aed,2021-06-01
0.06,egp,2021-06-01
0.00,idr,2021-06-01
0.00,lbp,2021-06-01
0.26,pen,2021-06-01
0.03,thb,2021-06-01
0.16,cny,2021-06-01
0.16,hrk,2021-06-01
0.00,huf,2021-06-01
0.01,pkr,2021-06-01
0.27,qar,2021-06-01
0.00,tzs,2021-06-01
0.04,uah,2021-06-01
0.00,vnd,2021-06-01
0.00,crc,2021-06-01
0.00,kzt,2021-06-01
0.00,ngn,2021-06-01
0.62,bgn,2021-06-01
1.16,eur,2021-08-01
0.78,cad,2021-08-01
1.36,gbp,2021-08-01
0.72,aud,2021-08-01
0.01,jpy,2021-08-01
0.19,brl,2021-08-01
1.08,chf,2021-08-01
0.16,dkk,2021-08-01
0.01,rub,2021-08-01
0.25,pln,2021-08-01
0.11,sek,2021-08-01
0.04,twd,2021-08-01
0.30,ils,2021-08-01
0.00,krw,2021-08-01
0.05,mxn,2021-08-01
0.11,nok,2021-08-01
0.73,sgd,2021-08-01
0.12,try,2021-08-01
0.73,bnd,2021-08-01
0.01,inr,2021-08-01
0.24,myr,2021-08-01
0.27,sar,2021-08-01
0.00,clp,2021-08-01
0.00,cop,2021-08-01
0.70,nzd,2021-08-01
0.24,ron,2021-08-01
0.07,zar,2021-08-01
0.13,hkd,2021-08-01
0.02,php,2021-08-01
0.05,czk,2021-08-01
0.27,aed,2021-08-01
0.06,egp,2021-08-01
0.00,idr,2021-08-01
0.00,lbp,2021-08-01
0.25,pen,2021-08-01
0.03,thb,2021-08-01
0.15,cny,2021-08-01
0.16,hrk,2021-08-01
0.00,huf,2021-08-01
0.01,pkr,2021-08-01
0.27,qar,2021-08-01
0.00,tzs,2021-08-01
0.04,uah,2021-08-01
0.00,vnd,2021-08-01
0.00,crc,2021-08-01
0.00,kzt,2021-08-01
0.00,ngn,2021-08-01
0.60,bgn,2021-08-01
1.16,eur,2021-09-01
0.78,cad,2021-09-01
1.35,gbp,2021-09-01
0.72,aud,2021-09-01
0.01,jpy,2021-09-01
0.19,brl,2021-09-01
1.07,chf,2021-09-01
0.16,dkk,2021-09-01
0.01,rub,2021-09-01
0.25,pln,2021-09-01
0.11,sek,2021-09-01
0.04,twd,2021-09-01
0.31,ils,2021-09-01
0.00,krw,2021-09-01
0.05,mxn,2021-09-01
0.11,nok,2021-09-01
0.73,sgd,2021-09-01
0.12,try,2021-09-01
0.73,bnd,2021-09-01
0.01,inr,2021-09-01
0.24,myr,2021-09-01
0.27,sar,2021-09-01
0.00,clp,2021-09-01
0.00,cop,2021-09-01
0.70,nzd,2021-09-01
0.24,ron,2021-09-01
0.07,zar,2021-09-01
0.13,hkd,2021-09-01
0.02,php,2021-09-01
0.05,czk,2021-09-01
0.27,aed,2021-09-01
0.06,egp,2021-09-01
0.00,idr,2021-09-01
0.00,lbp,2021-09-01
0.24,pen,2021-09-01
0.03,thb,2021-09-01
0.15,cny,2021-09-01
0.16,hrk,2021-09-01
0.00,huf,2021-09-01
0.01,pkr,2021-09-01
0.27,qar,2021-09-01
0.00,tzs,2021-09-01
0.04,uah,2021-09-01
0.00,vnd,2021-09-01
0.00,crc,2021-09-01
0.00,kzt,2021-09-01
0.00,ngn,2021-09-01
0.60,bgn,2021-09-01
1.15,eur,2021-10-01
0.79,cad,2021-10-01
1.35,gbp,2021-10-01
0.72,aud,2021-10-01
0.01,jpy,2021-10-01
0.18,brl,2021-10-01
1.07,chf,2021-10-01
0.15,dkk,2021-10-01
0.01,rub,2021-10-01
0.25,pln,2021-10-01
0.11,sek,2021-10-01
0.04,twd,2021-10-01
0.31,ils,2021-10-01
0.00,krw,2021-10-01
0.05,mxn,2021-10-01
0.12,nok,2021-10-01
0.73,sgd,2021-10-01
0.11,try,2021-10-01
0.73,bnd,2021-10-01
0.01,inr,2021-10-01
0.24,myr,2021-10-01
0.27,sar,2021-10-01
0.00,clp,2021-10-01
0.00,cop,2021-10-01
0.72,nzd,2021-10-01
0.23,ron,2021-10-01
0.07,zar,2021-10-01
0.13,hkd,2021-10-01
0.02,php,2021-10-01
0.05,czk,2021-10-01
0.27,aed,2021-10-01
0.06,egp,2021-10-01
0.00,idr,2021-10-01
0.00,lbp,2021-10-01
0.25,pen,2021-10-01
0.03,thb,2021-10-01
0.16,cny,2021-10-01
0.15,hrk,2021-10-01
0.00,huf,2021-10-01
0.01,pkr,2021-10-01
0.27,qar,2021-10-01
0.00,tzs,2021-10-01
0.04,uah,2021-10-01
0.00,vnd,2021-10-01
0.00,crc,2021-10-01
0.00,kzt,2021-10-01
0.00,ngn,2021-10-01
0.59,bgn,2021-10-01
